course-code,course-title,credits,description,mortarboard,Requisites:
ACCT I S 620,FUNDAMENTALS OF TAXATION,3,"Application of federal tax provisions and administrative rules common to most taxpayers with introductions to rules specific to corporations, pass-through entities, and individuals.",False,ACCT I S 301 or concurrent enrollment or declared in undergraduate Business Exchange program
ACCT I S 621,CORPORATE AND ADVANCED TAXATION,3,"Application of federal tax provisions and administrative rules pertaining to corporations and shareholders, including elective provisions for ""S"" corporations. Emphasis on tax planning and the consequences of corporate and shareholder decisions.",False,"ACCT I S 620, declared in Business: Accounting and Business Analysis MSB, or declared in the Business Exchange program"
ACCT I S 630,FOUNDATIONS OF AUDITING,3,"Audit and assurance services are vital to ensuring that organizations, their stakeholders, and the public can rely on organizations' financial information. Focus is on financial statement audits and their role in corporate governance and oversight. Emphasizes the components of the audit process with application to key financial accounting cycles and related internal controls. Also covers the professional role of public accountants and professional standards, norms and ethics.",False,"ACCT I S 301, 701, or declared in the Business Exchange program"
ACCT I S 640,FOUNDATION IN ACCOUNTING ANALYTICS,3,"Analytics has become an integral part of accounting to support decision making, coordination and control, and compliance with regulations. Being able to identify and pursue relevant questions using data is a critical skill for new hires, as is the ability to successfully communicate one's findings. This pursuit and communication requires a strong facility with a variety of analytics technologies.",False,"(ACCT I S 340 or concurrent enrollment), (ACCT I S 100 and ), ( or concurrent enrollment), or declared in the Business Exchange program"
ACCT I S 700,FINANCIAL ACCOUNTING,2-3,"Measurement and reporting guidelines underlying preparation of general purpose financial statements. Explore current measurement and reporting issues. Analyze and interpret financial statement data for investment, lending, and related decisions.",False,Graduate/professional standing
ACCT I S 701,FINANCIAL REPORTING I,3,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and liability valuations and their relationships to income determination, preparation and interpretation of financial statements, and related disclosure requirements.",False,N/A
ACCT I S 702,FINANCIAL REPORTING II,3,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and orther external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes.",False,ACCT I S 701
ACCT I S 706,ADVANCED FINANCIAL REPORTING,3,"Accounting principles related to formation, maintenance, expansion, contraction and liquidation of the business enterprise.",False,ACCT I S 701
ACCT I S 710,MANAGERIAL ACCOUNTING,2-3,"Interpretation and use of accounting data for management planning, decision making and control. Consideration of cost-volume-profit relationships, relevant costs, variable (direct) costing, activity-based costing, transfer pricing and performance evaluation of segments of the firm.",False,ACCT I S 700
ACCT I S 722,ANALYSIS OF TAXATION FOR PASS-THROUGH ENTITIES,3,"Analysis of federal tax provisions and administrative rules regarding pass-through entities, such as partnerships, S-corporations, and limited liability companies; including their application to entity formation and operation, property and ownership basis, distributions, and interest transfers.",False,"ACCT I S 620 and graduate/professional standing, declared in Business: Accounting and Business Analysis MSB, or declared in graduate Business Exchange program"
ACCT I S 724,"TAX RESEARCH, PROCEDURE & ANALYSIS",3,Methodologies and tools for tax research; utilization of tax research tools; preparation of investigative reports; professional and interprofessional responsibilities; administrative procedures and techniques.,False,"Graduate/professional standing and (ACCT I S 620 or LAW 742), declared in Business: Accounting and Business Analysis MSB, or declared in graduate Business Exchange program"
ACCT I S 725,ANALYSIS OF INTERNATIONAL TAXATION,3,"An introduction to international tax issues. Topics covered may include tax treaties, foreign tax credit provisions, Subpart F rules, and taxation of inbound investment and business income.",False,"Graduate/professional standing and (ACCT I S 620 or LAW 742), declared in Business: Accounting and Business Analysis MSB, or declared in graduate Business Exchange program"
ACCT I S 726,ADVANCED CORPORATE TAXATION,3,"The application of federal tax law to a variety of complex corporate tax topics and analysis on corporations and their shareholders. Primary legal sources of the code, regulations, and case law are applied to determine the tax treatment for advanced topics such as: 1) Tax and non-tax factors considered by buyers and sellers in both stock and asset acquisitions, 2) Taxable asset acquisitions, 3) Consolidations, 4) Divestitures and divisive D reorganizations, and 5) Codification of the economic substance doctrine. The emphasis of the class is on tax planning and the consequences of corporate and shareholder decisions.",False,ACCT I S 620 and 621
ACCT I S 730,"ADVANCED AUDITING: ANALYSIS, POLICY, AND JUDGMENT",3,"Auditors increasingly use analytics to provide assurance over financial and non-financial information. Audit and assurance principles will be viewed through the lens of an analytics mindset. Uses analytics in combination with other audit techniques as a basis for professional judgments. Examines how the contemporary audit environment influences professional judgments. Develops the technical knowledge and skills needed in many professional roles through discussion, case studies, and group projects.",False,"(Graduate/professional standing, ACCT I S 340, and 630), declared in Business: Accounting and Business Analysis MSB, or declared in graduate Business Exchange program"
ACCT I S 740,"INFORMATION RISK, CONTROL, & FORENSICS",3,"Examines the control and security of accounting information systems with an auditing and forensic perspective. Topics covered include: data governance frameworks, risks to information (i.e., data), internal controls related to identified risks, types of assurance services, computer assisted audit tools and techniques (CAATTs), fraud, and other related topics.",False,Graduate/professional standing or declared in graduate Business Exchange program
ACCT I S 765,CONTEMPORARY TOPICS,1-4,Exploration of advanced subject areas possibly to be introduced into the business curriculum.,False,Graduate/professional standing or declared in graduate Business Exchange program
ACCT I S 770,ACCOUNTING THEORY: REPORTING INCENTIVES AND CONSEQUENCES,3,Review and analysis of theoretical foundations of corporate financial reporting; application of conceptual framework and finance/economic theories to understand development of major accounting standards.,False,Graduate/professional standing and (ACCT I S 302 or 702); or declared in graduate Business Exchange program
ACCT I S 771,ANALYSIS OF PERFORMANCE MEASUREMENT & CONTROL,3,"Development and analysis of accounting data for managerial planning, control, decision-making, and costing, with a focus on the integration of financial and non-financial information needs for various managerial functions.",False,N/A
ACCT I S 772,ANALYSIS OF TAXES & BUSINESS DECISIONS,3,Readings and cases in taxation; analysis and integration of related tax provisions and taxpayer impact.,False,"ACCT I S 620 and graduate/professional standing, declared in Business: Accounting and Business Analysis MSB, or declared in graduate Business Exchange program"
ACCT I S/E P D/GEN BUS  781,FINANCIAL AND BUSINESS ACUMEN,1,"This course is designed with a keen awareness for the needs of the non-financial student or professional. For this class, no previous financial training is required. The intent is to equip you with the essential concepts used to develop financial literacy. Content will cover basic financial terms and reports, analytical tools to help interpret financial data and using financial data in budgets and forecasts.",False,Graduate/professional standing. Not open to students declared in an MBA program
ACCT I S 799,READING AND RESEARCH-ACCOUNTING,1-6,Individual work suited to the needs of graduate students may be arranged both during regular sessions and the intersession periods.,False,Consent of instructor
ACCT I S 971,SEMINAR IN ACCOUNTING RESEARCH,3,"Methods of inquiry and research methodology in accounting. Analysis of current research, with the emphasis on empirical research in accounting.",False,Declared in Business PHD
ACCT I S 990,ACCOUNTING INDEPENDENT RESEARCH PHD THESIS,1-12,Individual work to complete dissertation requirement of Ph.D. program.,False,Consent of instructor
ACCT I S 999,READING AND RESEARCH-ACCOUNTING PHD,1-6,Individual work suited to the needs of Ph.D. students may be arranged with a faculty member.,False,Declared in Business PHD
ACT SCI 300,ACTUARIAL SCIENCE METHODS I,1,Develop a knowledge of fundamental mathematical tools for quantitatively assessing risk. Emphasize the applications of these tools to problems encountered in actuarial science.,False,"(STAT/MATH  309, STAT 311, or STAT/MATH  431), declared in Capstone Certificate in Actuarial Science, or declared in undergraduate Business Exchange program. Not open to graduate students."
ACT SCI 301,ACTUARIAL SCIENCE METHODS II,1,Develop a knowledge of mathematical tools for quantitatively assessing financial risk. Emphasize the applications to problems encountered in actuarial science.,False,"(ACT SCI 303 or concurrent enrollment), declared in Capstone Certificate in Actuarial Science, or declared in undergraduate Business Exchange program. Not open to graduate students."
ACT SCI 303,THEORY OF INTEREST,3,"Time value of money; interest compounded discretely and continuously; accumulated and present value of payments; loans and sinking funds; annuity and bond valuation; interest rate term structure; duration, immunization and interest rate swaps.",False,N/A
ACT SCI 365,CONTEMPORARY TOPICS,1-3,Exploration of subject areas possibly to be introduced into the business curriculum.,False,None
ACT SCI 399,READING AND RESEARCH-ACTUARIAL SCIENCE,1-3,Directed study in various areas of actuarial science that provides the opportunity to participate in more in-depth study (intermediate level) under the direct guidance of actuarial science faculty.,False,Consent of instructor
ACT SCI 650,ACTUARIAL MATHEMATICS I,3,"Advanced problems in the mathematical theory of life contingencies; force of mortality, laws of mortality; premiums and reserves for insurance and annuities based on a single life.",False,"ACT SCI 303 and (STAT/MATH  309, STAT 311, or STAT/MATH  431), or declared in undergraduate Business Exchange program"
ACT SCI 651,ACTUARIAL MATHEMATICS II,3,"Continuation of ACT SCI 650. Joint life probabilities, annuities and insurances; multiple-decrement theory; pension fund mathematics.",False,ACT SCI 650
ACT SCI 652,LOSS MODELS I,3,Definition and selection of probability distributions appropriate for insurance data that are heavily tailed and skewed.,False,N/A
ACT SCI 653,LOSS MODELS II,3,Estimation of parameters of probability distributions appropriate for insurance data that are heavy tailed and skewed; assessment of credibility of data for ratemaking.,False,ACT SCI 652 or declared in undergraduate Business Exchange program
ACT SCI 654,REGRESSION AND TIME SERIES FOR ACTUARIES,2-3,Linear regression and correlation; generalized linear regression models; introduction to time series; time series model building and forecasting with focus on data of interest to actuaries.,False,"Junior standing and (GEN BUS 306, 704, STAT/MATH  310, or STAT 312), or declared in the Business Exchange program"
ACT SCI 655,HEALTH ANALYTICS,2-3,"Provides an introduction to the broad area of health, integrating how researchers from multiple perspectives have investigated various aspects of health, along with the hands-on practice of learning and using statistical tools to analyze these topics.",False,"Junior standing and (GEN BUS 306, 704, STAT/MATH  310, or STAT 312), or declared in the Business Exchange program"
ACT SCI 657,RISK ANALYTICS,2-3,"Develops a toolbox for modeling, communicating, and managing risk and uncertainty in predictive models. Topics include time-series forecasting, probabilistic forecasting techniques, scenario analysis, and integrations of modern machine learning methods with distribution-based predictive models, among others. Particularly addresses situations where data is sparse, including climate, cyber, and catastrophic risk.",False,N/A
ACT SCI 765,CONTEMPORARY TOPICS,1-3,Exploration of subject areas possibly to be introduced into the business curriculum.,False,Graduate/professional standing or declared in graduate Business Exchange program
AFRICAN 100,INTRODUCTION TO AFRICAN CULTURAL EXPRESSION,3,"An introduction to current research in African cultural studies, ranging from various literary genres and uses of discourse; to diverse media including screen media, music, cartoons, and journalism; and to other forms of popular expression like soccer and drama. Through an introduction to these forms, study the diverse methods used by scholars in this field, such as textual analysis, film criticism, ethnomusicology, discourse analysis, and ethnography; and to the cultural diversity of Africa and its diasporic cultures.",False,None
AFRICAN/HISTORY  129,AFRICA ON THE GLOBAL STAGE,3-4,"Explores the interplay between Africa and the World from the 19th century to the present, covering subjects such as the slave- trade, repatriation, Africanizing of culture in the Americas and Europe, the spread and revival of world religions, colonialism, global capitalism, the rise of global popular culture such as pop music and video films, environmental concerns and global epidemics.",False,None
AFRICAN 201,INTRODUCTION TO AFRICAN LITERATURE,3,Survey of African literary traditions and introduction to literary analysis.,True,None
AFRICAN 202,INTRODUCTORY TOPICS IN AFRICAN CULTURAL STUDIES,3,"Various topics in African cultural studies and African expressive cultures. Topics will include cultural and/or political themes that cut across multiple media and genres, including two or more of the following: literature, film, media, music, performance, language use, etc.",False,None
AFRICAN 203,INTRODUCTORY TOPICS IN AFRICAN LITERATURE,3,"Introduction to a special topic in African literature, focused on a specific region or genre.",False,None
AFRICAN 204,INTRODUCTORY TOPICS IN AFRICAN LANGUAGES,3,"Special topics related to African languages and/or linguistics at the introductory level. Introduction to the diversity of African languages, superdiverse multilingual African societies, and the relationships between language and other societal issues.",False,None
AFRICAN 206,INTRODUCTION TO AFRICAN LINGUISTIC PRACTICES,3,"An introduction to various approaches to studying African languages in societal context from the perspective of experts in sociolinguistics, linguistic ethnography, and language pedagogy. Topics covered will include multilingualism, codeswitching, codemixing, translanguaging, language invention/disinvention, interactional practices, discourse analysis, language and politics, language and identity, language in education, language, gender, and sexuality, language and the media, language choice in literature and film, language and popular culture, translation, and language learning.",False,None
AFRICAN/FOLKLORE  210,THE AFRICAN STORYTELLER,3,"The oral tradition and the written word; the composition of stories, relationship between performer and audience, and transmission of tradition in various African societies.",False,None
AFRICAN 212,INTRODUCTION TO AFRICAN POPULAR CULTURE,3,"Popular culture (such as popular literature, music, television, news media, movies, etc.) will be used to introduce the African continent and its cultures, people, and languages. Explore text from a different regions on the continent, with a focus on differences and similarities across the continent at the level of aesthetics and context.",False,N/A
AFRICAN/FRENCH  216,MODERN AND CONTEMPORARY FRANCOPHONE TOPICS,3,"Modern and contemporary topics in the African francophone world, which includes both the African continent and the African diaspora. Taught in English.",False,None
AFRICAN/AFROAMER  220,"HIPHOP, YOUTH CULTURE, AND POLITICS IN SENEGAL",3,"Explores how HipHop, a quintessential manifestation of African American culture, is adopted and adapted by African youth to fight for social justice and democracy in their local contexts, while at the same time constructing a diasporic African sensibility and ""cultural citizenship"" that transcends boarders and oceans. Beginning with the history, culture, and politics of HipHop in the U.S., we compare and contrast HipHop's development in Africa with specific attention to Senegal. Explores the the youth culture and politics in Senegal and the ongoing process of cross-cultural flows and hybridity.",False,None
AFRICAN 230,INTRODUCTION TO YORUBA LIFE AND CULTURE,3,"Introduction to some aspects of the life and culture of Yoruba-speaking people of West Africa, Cuba, Brazil, and Haiti, including the importance of Yoruba culture in the Americas.",False,None
AFRICAN 231,INTRODUCTION TO ARABIC LITERARY CULTURE,3,"Overview on Arabic cultural production. Develops a historic and critical understanding of Arabic literary traditions, as well as related musical and visual arts, up to the twenty-first century.",False,None
AFRICAN 232,INTRODUCTION TO SWAHILI CULTURES,3,"A multi-disciplinary introduction to the identities, history, language, literature, and artistic heritage of Swahili speakers.",False,None
AFRICAN/AFROAMER  233,GLOBAL HIPHOP AND SOCIAL JUSTICE,3,"Critical interrogation of the relationship between HipHop and social justice. What is ""HipHop,"" what is ""social justice,"" what is their relationship, how can HipHop can be an effective force for social justice, and what obstacles mitigate against this potential? Discussions will develop familiarity with important concepts in Black studies and social theory such as race and colonialism, imperialism and hegemony, structure and agency, identity and strategic essentialism. Consider the race/class/gender dimensions of weekly topics, acquire a broader familiarity with HipHop activism, and develop new conceptual tools and critical thinking skills.",True,None
AFRICAN/FOLKLORE  270,THE HERO AND TRICKSTER IN AFRICAN ORAL TRADITIONS,3,"Two major characters in African oral tradition as treated in narrative, epic and heroic poetry.",False,3 credits in AFRICAN
AFRICAN 275,LEAD WITH LANGUAGES: PUTTING LANGUAGE SKILLS TO WORK,1,"Whether you developed your language abilities at home, abroad, or in an educational setting, learn how to leverage your language skills to maximize potential employment opportunities. Develop an understanding of transferable skills unique to language learners and work toward articulating these skills for resume, cover letter, networking, and interviewing exercises. Connect your enthusiasm for learning languages with your personal interests, skills, and abilities to begin exploring career pathways. Learn from peers, alumni, and other guest speakers with language majors and multilingual backgrounds who have succeeded in a variety of careers.",False,Sophomore standing
AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/POLI SCI/SOC  277,AFRICA: AN INTRODUCTORY SURVEY,4,"African society and culture, polity and economy in multidisciplinary perspectives from prehistory and ancient kingdoms through the colonial period to contemporary developments, including modern nationalism, economic development and changing social structure.",False,None
AFRICAN/AFROAMER/HISTORY/POLI SCI  297,AFRICAN AND AFRICAN-AMERICAN LINKAGES: AN INTRODUCTION,4,"Analysis of retention of African elements in African-American oral, written, and material culture. Social, cultural, and political issues regarding race, self-definition, and self-determination in both Africa and North America will be examined.",True,N/A
AFRICAN 300,AFRICAN LITERATURE IN TRANSLATION,3,"Introduction to the literature, oral or written, of a coherent cultural area of Africa, for those for whom texts in the original language are not accessible.",False,Sophomore standing
AFRICAN/INTL ST  302,ARABIC LITERATURE AND CINEMA,3,"An introduction to the most significant topics of contemporary Arabic literature and cinema. Discuss the legacy of colonialism, repressive nature of post-independence regimes, discourses on nationalism, religion vs. secularization, gender relations, representation of cultural otherness, and the Arab Springs. Materials will be drawn from a variety of cultural forms including literature, film, music, and performance; and scholarship, exploring the social, cultural, political, and economic contexts in which texts and films are written and exhibited.",False,Sophomore standing
AFRICAN 303,AFRICAN LITERATURE AND VISUAL CULTURE,3,An introduction to literature and visual culture of Africa in various periods and places; specific topics will vary.,False,Sophomore standing
AFRICAN 304,SOCCER IN AFRICA,3,"Examines representations of soccer in sub-Saharan Africa. It is meant to make us think about African soccer as a cultural and political practice, while keeping in mind that this is a sport or a game. What does this sport, ""the beautiful game"" as it is called, the most widely followed and adored game, mean to Africans? What is the role of fans and spectators, alongside readers of literature and viewers of film? How does soccer link Africa to the rest of the world? Briefly cover the history of the game, in the world and in Africa, and its social impact; learn about both magic and racism in African soccer; read novels, discuss paintings, and watch films that represent soccer in meaningful ways and connect it to important issues of the neocolonial world.",False,Sophomore standing
AFRICAN 321,FIRST SEMESTER ARABIC,5,"For beginning learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,None
AFRICAN 322,SECOND SEMESTER ARABIC,5,"For beginning learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,AFRICAN 321 or 339
AFRICAN 323,THIRD SEMESTER ARABIC,4,"For intermediate learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,AFRICAN 322 or 340
AFRICAN 324,FOURTH SEMESTER ARABIC,4,"For intermediate learners of Modern Standard Arabic. Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,AFRICAN 323 or 341
AFRICAN 325,COLLOQUIAL ARABIC,2,"For intermediate learners of colloquial Arabic from specific region of Arab nations; emphasis on proficiency through speaking, listening, writing and on communication in cultural context.",False,AFRICAN 322 or 340
AFRICAN 326,COLLOQUIAL ARABIC,2,"For advanced learners of colloquial Arabic from specific region of Arab nations; emphasis on proficiency through speaking, listening, reading, writing and on communication in cultural context.",False,"AFRICAN 324, 325, or 342"
AFRICAN 329,FIFTH SEMESTER ARABIC,3,"For advanced learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,AFRICAN 324 or 342
AFRICAN 330,SIXTH SEMESTER ARABIC,3,"For advanced learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,AFRICAN 329 or 343
AFRICAN 331,FIRST SEMESTER SWAHILI,5,"For beginning learners of Standard Swahili; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,None
AFRICAN 332,SECOND SEMESTER SWAHILI,5,"For beginning learners of Swahili; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,AFRICAN 331
AFRICAN 333,THIRD SEMESTER SWAHILI,4,"Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice.",False,AFRICAN 332
AFRICAN 334,FOURTH SEMESTER SWAHILI,4,"Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice.",False,AFRICAN 333
AFRICAN 335,FIRST SEMESTER-A LANGUAGE OF SOUTHERN AFRICA,5,"For beginning learners of a Southern African language; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,None
AFRICAN 336,SECOND SEMESTER-A LANGUAGE OF SOUTHERN AFRICA,4-5,"For beginning learners of a Southern African language; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,AFRICAN 335
AFRICAN 337,THIRD SEMESTER-A LANGUAGE OF SOUTHERN AFRICA,4,"Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice.",False,AFRICAN 336
AFRICAN 338,FOURTH SEMESTER-A LANGUAGE OF SOUTHERN AFRICA,4,"Advanced speaking knowledge and grammatical analysis. Structure, reading, drills.",False,AFRICAN 337
AFRICAN 339,FIRST SEMESTER SUMMER ARABIC,4,"Emphasis on proficiency through speaking, listening, reading and writing, and on communication in cultural context.",False,N/A
AFRICAN 340,SECOND SEMESTER SUMMER ARABIC,4,"Emphasis on proficiency through speaking, listening, ready and writing, and on communication in cultural context.",False,"Declared in Arabic, Persian, and Turkish Language Institute and ( or )"
AFRICAN 341,THIRD SEMESTER SUMMER ARABIC,4,"Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,"Declared in Arabic, Persian, and Turkish Language Institute and ( or )"
AFRICAN 342,FOURTH SEMESTER SUMMER ARABIC,4,"Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,N/A
AFRICAN 343,FIFTH SEMESTER SUMMER ARABIC,4,"Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,"Declared in Arabic, Persian, and Turkish Language Institute and ( or )"
AFRICAN 344,SIXTH SEMESTER SUMMER ARABIC,4,"Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,"Declared in Arabic, Persian, and Turkish Language Institute and ( or )"
AFRICAN 361,FIRST SEMESTER HAUSA,5,"For beginning learners of Hausa; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,None
AFRICAN 362,SECOND SEMESTER HAUSA,4-5,"For beginning learners of Hausa; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,N/A
AFRICAN/ASIAN/RELIG ST  370,ISLAM: RELIGION AND CULTURE,3-4,The emergence and development of Islam; schism; theology; asceticism; speculative and popular mysticism; literatures in diverse Islamic languages. Not open to students with credit for LCA 370 prior to Fall 2019.,False,Sophomore standing
AFRICAN 371,FIRST SEMESTER YORUBA,5,"For beginning learners of Standard Yoruba; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,None
AFRICAN 372,SECOND SEMESTER YORUBA,5,"For beginning learners of standard Yoruba; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,AFRICAN 371
AFRICAN 373,THIRD SEMESTER YORUBA,4,Advanced grammar and conversational practice. Reading contemporary Yoruba literature and other writings.,False,AFRICAN 372
AFRICAN 374,FOURTH SEMESTER YORUBA,4,Continue to develop and refine competence and performance in linguistic skills.,False,AFRICAN 373
AFRICAN 391,FIRST SEMESTER-A LANGUAGE OF WEST AFRICA,5,"For beginning learners of a West African language; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,None
AFRICAN 392,SECOND SEMESTER-A LANGUAGE OF WEST AFRICA,4-5,"For beginning learners of a West African language; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.",False,AFRICAN 391
AFRICAN 393,THIRD SEMESTER-A LANGUAGE OF WEST AFRICA,4,"For intermediate learners of a West African language. Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice.",False,N/A
AFRICAN 394,FOURTH SEMESTER-A LANGUAGE OF WEST AFRICA,4,"For intermediate learners of a West African language. Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice.",False,AFRICAN 393
AFRICAN 399,DIRECTED STUDY OF AN AFRICAN LANGUAGE,3,Directed language study for students experienced in language self instruction. The instructor will continue to consult with the student and monitor progress.,False,Consent of instructor
AFRICAN 402,THEORY OF AFRICAN LITERATURE,3-4,"Approaches to the analysis of African oral narrative performances, heroic poetry, epic, and the genres of written literature: Aesthetic, symbolic, and structural analysis and their interrelationships.",False,"AFRICAN 201, 203, 211, 231, FOLKLORE/AFRICAN  210, or graduate/professional standing"
AFRICAN 403,THEORIES OF AFRICAN CULTURAL STUDIES,3,"A study of culture and cultural production, circulation, consumption, and meaning making in Africa. Discussions foreground material and imaginative cultural forms and practices-their origins, languages, contents, forms, functions, genres, and audiences. Examines the uses to which particular meanings of culture and its forms are put, by whom, and to what purpose, and how meanings are fought over, reshaped, and reconstituted, and under what conditions those are or can be possible. Surveys the entrenched modes of both conceptual and critical apprehension of the cultural forms and practices (from Negritude to postcolonialism and postmodernism), explores their methods of reading, raises the issue of their linkages to sources in Euro-America, and assesses the extent to which the unique concerns of the biography of culture in Africa (expressed by its creators and scholars) have tried to tame and refashion what are now globally shared critical tools of cultural reading.",False,N/A
AFRICAN 405,TOPICS IN AFRICAN CULTURAL STUDIES,3,"Examines various mediated cultural forms such as broadcasting, news, performance, music, film, or social media created and used across regions and countries in Africa, addressing issues such as cultural identity, nation building, constraints on expression, access, and reception, and the interaction of global and African cultural forms.",False,"Sophomore standing and 3 credits in AFRICAN, or graduate/professional standing"
